PG.ProteinGroups,Ratio_log2_50,Ratio_log2_150,Ratio_log2_300_2,Ratio_log2_300
Q96CX2,19.554941423727,20.3261430828515,19.6298639273177,20.6665101862544
Q9Y4C2,7.76822742324922,8.74426291417925,NA,9.26531918812356
P40925,17.5626161379671,NA,NA,NA
Q14318,7.99017694733205,8.72180986421771,8.37649339075596,9.29722885549618
P08579,6.31808325746289,NA,NA,7.59925289539756
Q9BRJ7,3.52742922821876,4.35474046194636,NA,4.65717835762429
O95155,17.8617904945724,18.8191296739354,NA,20.1252949331672
Q96Q42,9.35268533404046,NA,9.02962558853121,9.50472475606104
Q9Y512,8.70672968185738,NA,NA,9.5775718243447
Q9HA65,7.2107014433852,6.90202251097053,NA,7.41762981998223
Q9NRN7,19.0460414870215,20.0313202375324,NA,20.3713540266242
Q06455,20.8285161746081,21.9521783513944,NA,22.4217561481771
Q9BWM7,18.1803423471456,18.8027290615464,18.4440026257565,19.2257913896432
O94856,18.5388919354812,18.9173319036682,NA,19.6929118413372
Q92604,18.2078083561477,18.3018575834164,NA,19.234770134457
P54105,17.9763376704911,18.9173047485667,NA,18.8827155274877
P19086,3.26034966050718,3.27243997327265,NA,4.13137603481612
O15498,16.9735942913825,17.9752844837125,NA,NA
Q24JP5,3.48412745070813,4.20395418568792,4.31132787049745,4.77352848571471
O95297,6.55187232816156,7.17059170986985,NA,7.48130011928484
Q9NPH2,18.7400692922489,18.9740597251123,NA,19.6159007938996
Q8N806,11.9308156302362,NA,12.3576585055799,NA
Q14671,6.44187719905663,6.18071612771053,NA,7.26256345010647
O43924,14.6988918905809,15.9564005019195,NA,15.990546358678
P47756,8.37426368306503,8.98847051414147,NA,9.32970931274866
P26196,8.29318888126743,8.22420265331623,NA,NA
P09104,14.2767343915876,NA,NA,17.8474455629562
P11413,6.87738221080406,7.33530859969237,NA,7.60738616160431
O94776,7.62504718198813,8.40217631550791,NA,8.67306529702076
Q9H6U8,16.9092694931248,18.557304480689,18.257106395788,18.6614948736379
Q9P291,10.7127596501768,12.7424993007617,NA,11.98620520228
Q68D91,17.984686134334,18.5538724147182,NA,19.1658474644016
O75326,6.15838458942356,NA,NA,NA
Q9UPW5,7.02720635113341,NA,NA,NA
O60231,9.47471865483546,10.0950618475901,NA,11.0603210740213
Q9Y4X5,11.577150482222,11.7125118848452,NA,NA
Q96MZ0,17.4441690659843,18.3081485309363,17.6730270483424,NA
Q86Y82,19.1262359565064,20.1305107323947,19.5189051326741,20.4354620063759
Q8NCB2,5.47897843007123,6.94340129003677,NA,NA
P25787,8.40871076869711,NA,NA,NA
Q8IV08,19.2547741331695,19.9979387155724,NA,20.2847802463333
P51149,7.25863130592962,8.25651522750477,7.88843478604781,8.49995661492631
P13489,7.35211632196674,7.87877918528003,NA,8.26891764570414
Q9Y3A3,16.517695966581,NA,NA,NA
Q96B54,8.75704143268415,9.31950507471053,NA,9.84083457986292
O15394,9.54790392497819,10.1952172720035,NA,10.4724352742219
Q15771,18.8269131122924,19.9770666352034,19.7240054827395,20.1825899197216
P63096,17.9157517599023,19.1787216584614,NA,19.4071973965743
P52292,9.27458503358789,9.48482436851705,9.84379690492578,10.0863218188631
Q13586,18.2210315127132,18.5920725009882,NA,NA
Q96SW2,18.9614603821356,19.699983534336,NA,19.7518950712603
P51812,18.8354202336739,19.7382346796963,18.7982800338913,NA
O43292,4.63646940650817,5.26882810087621,NA,5.32286848265485
Q96MY1,20.5399451763101,21.1225153655264,NA,21.4501386422459
Q9UQL6,4.60773354031738,NA,NA,NA
Q13951,18.5774052332427,NA,NA,18.5771404100888
Q9H2V7,18.8024044915907,19.4344699939056,NA,19.834847036356
Q9UI30,18.507126199427,19.1845897947739,19.0012953427433,19.5859882399665
Q96S59,3.36542040243861,3.96755236215042,NA,4.44234922260785
P51116,6.12502516762216,6.91867564554164,6.25297110455921,7.11772535418011
Q8TAD8,19.3471984634408,19.5866356451136,NA,NA
Q5JU69,18.2654790276889,19.6510463688783,NA,20.0878159510425
P19404,15.5673547719467,16.4830499337153,NA,16.8081205862711
Q9NP72,4.62958587267064,4.58771585781381,4.22120980630124,5.06872946239087
Q9H0E2,18.6888776536833,19.5535950699442,19.5990234089729,20.1116455762141
Q8N350,2.3478181780133,NA,1.96151156452668,NA
Q8NFT8,4.52869339823341,4.88305263143388,5.41741716382201,5.56698273336772
O00560,15.7125610539035,17.2049956292163,NA,NA
P51784,5.74505104163231,NA,7.42742182999517,7.66932221239626
Q6IEE7,3.82238224417898,4.35720905561319,NA,5.08712418751273
Q8NFZ8,19.2734362996864,20.4522192046031,20.1130423517749,20.8603023357807
